"Metro Area",Year,"OneD Index","Economic Prosperity Index","Educational Preparedness Index","Social Equity Index","Quality of Life Index","Regional Transit Index"
"Knoxville-Sevierville-La Follette, TN",2010,1.92,1.48,2.12,1.87,2.52,1.61
"Las Vegas-Paradise-Pahrump, NV",2010,2.05,2.35,1.15,3.36,1.86,1.52
"Los Angeles-Long Beach-Riverside, CA",2010,1.87,1.9,2.02,2.04,1.59,1.8
"Louisville-Jefferson County-Elizabethtown-Scottsburg, KY-IN",2010,1.92,1.6,1.9,2.36,2.1,1.62
"Memphis, TN-MS-AR",2010,1.61,1.42,1.92,1.86,1.33,1.54
"Miami-Fort Lauderdale-Pompano Beach, FL",2010,1.78,2.05,1.68,1.91,1.67,1.58
"Milwaukee-Racine-Waukesha, WI",2010,2.34,1.46,2.67,2.33,3.34,1.87
"Minneapolis-St. Paul-St. Cloud, MN-WI",2010,2.74,2.01,3.1,3.03,3.64,1.95
"Nashville-Davidson-Murfreesboro-Columbia, TN",2010,2.15,1.9,2.28,2.38,2.71,1.48
"New Orleans-Metairie-Bogalusa, LA",2010,1.75,1.07,1.94,1.76,2.23,1.75
"New York-Newark-Bridgeport, NY-NJ-CT-PA",2010,2.47,2.47,3.36,1.35,2.61,2.55
"Oklahoma City-Shawnee, OK",2010,2.1,1.45,2.12,2.22,3.1,1.59
"Orlando-Deltona-Daytona Beach, FL",2010,2.13,2.14,1.9,2.98,2.09,1.55
"Philadelphia-Camden-Vineland, PA-NJ-DE-MD",2010,2.19,1.96,2.65,2.16,2.37,1.81
"Phoenix-Mesa-Glendale, AZ",2010,2.09,1.72,2.01,2.81,2.16,1.76
"Pittsburgh-New Castle, PA",2010,2.08,1.61,2.45,2.09,2.38,1.86
"Portland-Vancouver-Hillsboro, OR-WA",2010,2.58,2.15,2.23,2.83,3.85,1.84
"Raleigh-Durham-Cary, NC",2010,2.69,2.1,3.22,3.07,3.08,1.96
"Richmond, VA",2010,2.2,1.67,2.18,2.89,2.41,1.83
"Rochester-Batavia-Seneca Falls, NY",2010,2.68,1.27,3.34,2.68,3.92,2.19
"Sacramento-Arden-Arcade-Yuba City, CA-NV",2010,2.3,1.29,2.29,3.19,2.82,1.94
"Salt Lake City-Ogden-Clearfield, UT",2010,2.56,2.09,2.15,3.48,3.22,1.88
"San Antonio-New Braunfels, TX",2010,2.23,1.95,2.12,2.56,2.9,1.64
"San Diego-Carlsbad-San Marcos, CA",2010,2.34,2.05,2.39,2.72,2.66,1.89
"San Jose-San Francisco-Oakland, CA",2010,2.6,2.56,2.71,2.34,3.67,1.71
"Seattle-Tacoma-Olympia, WA",2010,2.86,3.23,2.72,3.07,3.51,1.78
"St. Louis-St. Charles-Farmington, MO-IL",2010,2.1,1.48,2.41,2.54,2.29,1.76
"Tampa-St. Petersburg-Clearwater, FL",2010,1.87,1.57,1.58,2.46,2.07,1.67
"Virginia Beach-Norfolk-Newport News, VA-NC",2010,2.38,1.54,2.09,3.71,3,1.57
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",2010,3.18,2.2,4.15,3.88,3.24,2.44
"Albany-Schenectady-Amsterdam, NY",2011,2.47,1.03,3.42,2.91,2.81,2.16
"Atlanta-Sandy Springs-Gainesville, GA-AL",2011,2.21,1.16,2.61,2.5,2.93,1.83
"Austin-Round Rock-Marble Falls, TX",2011,2.65,1.97,2.92,2.54,3.77,2.07
"Birmingham-Hoover-Cullman, AL",2011,1.91,0.98,2.01,1.78,2.77,1.99
"Boston-Worcester-Manchester, MA-RI-NH",2011,2.71,2.59,3.46,1.97,3.54,2
"Buffalo-Niagara-Cattaraugus, NY",2011,2.13,0.52,3.17,2.07,2.84,2.08
"Charlotte-Gastonia-Salisbury, NC-SC",2011,2.14,0.76,2.67,2.06,3.22,2.01
"Chicago-Naperville-Michigan City, IL-IN-WI",2011,2.51,1.86,3,2.39,3.07,2.25
"Cincinnati-Middletown-Wilmington, OH-KY-IN",2011,2.15,1.15,2.29,2.3,2.95,2.05
"Cleveland-Akron-Elyria, OH",2011,1.99,1.16,2.19,1.88,2.53,2.2
"Columbus-Marion-Chillicothe, OH",2011,2.15,0.91,2.58,2.16,3.11,2
"Dallas-Fort Worth, TX",2011,2.33,1.86,2.43,2.59,2.85,1.9
"Dayton-Springfield-Greenville, OH",2011,2.17,0.66,2.14,2.35,3.38,2.32
"Denver-Aurora-Boulder, CO",2011,2.44,1.63,2.36,2.62,3.48,2.1
"Detroit-Warren-Flint, MI",2011,2.04,1.68,2.09,2.23,2.28,1.93
"Fresno-Madera, CA",2011,1.55,0.01,1.77,2.11,1.23,2.61
"Grand Rapids-Muskegon-Holland, MI",2011,2.46,0.76,2.32,2.86,4.01,2.33
"Greensboro-Winston-Salem-High Point, NC",2011,2.05,0.52,2.25,2.11,3.14,2.21
"Greenville-Spartanburg-Anderson, SC",2011,1.83,0.71,1.84,2,2.93,1.69
"Hartford-West Hartford-Willimantic, CT",2011,2.69,1.77,3.41,2.75,3.49,2.05
"Houston-Baytown-Huntsville, TX",2011,2.3,2.86,2.3,2.19,2.42,1.73
"Indianapolis-Anderson-Columbus, IN",2011,2.11,1.48,2.26,2.35,2.54,1.91
"Jacksonville, FL",2011,2.27,1.3,2.18,2.52,3.14,2.22
"Kansas City-Overland Park-Kansas City, MO-KS",2011,2.4,1.41,2.61,2.84,2.87,2.29
"Knoxville-Sevierville-La Follette, TN",2011,2.04,0.85,2.1,1.99,3.24,2
"Las Vegas-Paradise-Pahrump, NV",2011,1.99,1.3,1.2,3.07,2.48,1.9
"Los Angeles-Long Beach-Riverside, CA",2011,2.06,1.71,2.18,1.99,2.27,2.16
"Louisville-Jefferson County-Elizabethtown-Scottsburg, KY-IN",2011,2.01,0.92,2.04,2.22,2.84,2.05
"Memphis, TN-MS-AR",2011,1.85,1.17,2.09,1.93,2.13,1.92
"Miami-Fort Lauderdale-Pompano Beach, FL",2011,1.97,1.87,1.7,1.89,2.44,1.96
"Milwaukee-Racine-Waukesha, WI",2011,2.33,1.23,2.8,2.16,3.19,2.29
"Minneapolis-St. Paul-St. Cloud, MN-WI",2011,2.84,1.84,3.09,2.96,3.98,2.32
"Nashville-Davidson-Murfreesboro-Columbia, TN",2011,2.13,1.26,2.4,2.29,2.9,1.82
"New Orleans-Metairie-Bogalusa, LA",2011,1.91,1.32,2.05,1.61,2.34,2.21
"New York-Newark-Bridgeport, NY-NJ-CT-PA",2011,2.55,2.51,3.46,1.32,2.78,2.69
"Oklahoma City-Shawnee, OK",2011,2.02,0.89,2.14,2.22,2.9,1.97
"Orlando-Deltona-Daytona Beach, FL",2011,2.12,1.22,2,2.79,2.7,1.89
"Philadelphia-Camden-Vineland, PA-NJ-DE-MD",2011,2.29,1.82,2.72,2.1,2.73,2.07
"Phoenix-Mesa-Glendale, AZ",2011,2.1,0.97,2.07,2.69,2.56,2.2
"Pittsburgh-New Castle, PA",2011,2.24,1.42,2.56,2.18,2.93,2.12
"Portland-Vancouver-Hillsboro, OR-WA",2011,2.56,1.91,2.25,2.67,3.72,2.22
"Raleigh-Durham-Cary, NC",2011,2.68,1.2,3.29,3.18,3.27,2.44
"Richmond, VA",2011,2.37,1.02,2.41,3.08,3.09,2.24
"Rochester-Batavia-Seneca Falls, NY",2011,2.53,1.09,3.28,2.52,3.57,2.21
"Sacramento-Arden-Arcade-Yuba City, CA-NV",2011,2.25,0.57,2.46,2.91,2.97,2.32
"Salt Lake City-Ogden-Clearfield, UT",2011,2.59,1.48,2.25,3.33,3.56,2.34
"San Antonio-New Braunfels, TX",2011,2.22,1.1,2.09,2.71,3.15,2.06
"San Diego-Carlsbad-San Marcos, CA",2011,2.4,1.77,2.5,2.59,2.88,2.26
"San Jose-San Francisco-Oakland, CA",2011,2.68,3.22,2.86,2.21,3.1,2.02
"Seattle-Tacoma-Olympia, WA",2011,2.99,3.28,2.69,3,3.79,2.18
"St. Louis-St. Charles-Farmington, MO-IL",2011,2.23,1.31,2.47,2.45,2.74,2.19
"Tampa-St. Petersburg-Clearwater, FL",2011,2.05,1.29,1.61,2.29,2.99,2.06
"Virginia Beach-Norfolk-Newport News, VA-NC",2011,2.35,0.84,2.23,3.74,2.99,1.95
