"OBJECTID","FIPS","FIPS_1","EDU1","EDU1_Z","EDU2","EDU2_Z","EDU3","EDU3_Z","EDU4","EDU4_Z","EDU5","EDU5_Z","EDU6","EDU5_Z1","EDU6_Z","EDU7","EDU7_Z","EDU_COMP","EDU_RANK","EE1","EE1_Z","EE2","EE2_Z","EE3","EE3_Z","EE4","EE4_Z","EE_COMP","EE_RANK","N1","N1_Z","N2","N2_Z","N3","N3_Z","N4","N4_Z","N5","N5_Z","N6","N6_Z","N_COMP","N_RANK","COMP","COMP_RANK","COMP_OPP"
1063,26099261900,,34.421769,-0.470038,0,0.608952,0,1.030708,61.084453,0.291759,50.007692,-0.735721,28.258696,-0.735721,-0.395473,63.290175,-0.544836,-0.030664,3,2.431373,0.416448,39383,-0.537314,13.029925,0.262464,-13.402222,0.500582,0.160545,3,2.968037,0.883296,127700,-0.188531,68,-0.120879,16.4884,0.083724,-2.050904,-0.027374,5.009208,0.066715,0.116159,3,0.082013,3,"Moderate"
1064,26099262000,,11.470113,0.539286,7.317073,-0.153689,8.536585,0.345237,49.663583,-0.380978,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.133709,3,3.579255,0.166263,52621,-0.047691,7.096393,0.838675,-15.85922,0.290749,0.311999,4,3.929825,0.800321,127800,-0.187325,90.577064,0.928069,9.036712,0.551957,0.001942,-0.026083,4.023553,0.092804,0.359957,4,0.268555,4,"High"
1065,26099262200,,9.230769,0.637764,0,0.608952,4.054054,0.705175,48.418198,-0.454336,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.297666,4,5.443322,-0.240017,53929,0.000687,8.826014,0.67071,-16.596865,0.227752,0.164783,3,3.62358,0.826741,131600,-0.141497,91.414141,0.96696,8.482328,0.586792,1.033054,-0.025434,3.09562,0.117364,0.388488,4,0.283646,4,"High"
1066,26099262300,,50,-1.15511,0,0.608952,31.64557,-1.51037,51.292247,-0.285043,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,-0.25078,2,2.050729,0.499411,44554,-0.346059,8.55878,0.696661,-16.270115,0.255657,0.276418,4,6.414141,0.585994,132700,-0.128231,58.553697,-0.559762,19.7935,-0.123955,-4.756437,-0.029076,1.390583,0.162494,-0.015423,2,0.003405,3,"Moderate"
1067,26099262400,,31.897712,-0.35904,0,0.608952,16.788321,-0.31736,47.10673,-0.531587,49.192742,-0.784121,25.399194,-0.784121,-0.53939,76.843198,-1.088049,-0.430085,2,4.915391,-0.124953,40893,-0.481465,18.169209,-0.236617,-16.270115,0.255657,-0.146844,2,9.416058,0.327013,128400,-0.180089,80.499597,0.459862,17.934,-0.007111,6.027266,-0.022293,3.972037,0.094167,0.111925,3,-0.155002,2,"Low"
1068,26099262500,,20.745342,0.131398,2.597403,0.338231,0,1.030708,37.579449,-1.09278,50.007692,-0.735721,28.258696,-0.735721,-0.395473,63.290175,-0.544836,-0.18121,2,3.858093,0.105489,38297,-0.577481,9.792285,0.576874,-16.167147,0.264451,0.092333,3,8.14664,0.436528,107600,-0.430934,80.709534,0.469616,10.6699,0.449334,1.852859,-0.024919,2.035116,0.145434,0.174177,3,0.028433,3,"Moderate"
1069,26099262700,,4.745763,0.834997,0,0.608952,18.181818,-0.429255,52.124031,-0.236047,50.942925,-0.680176,25.701402,-0.680176,-0.52418,81.518578,-1.275441,-0.243021,2,0.431034,0.852429,57792,0.143564,8.622909,0.690433,-18.449858,0.069502,0.438982,4,15.018315,-0.156305,119900,-0.282597,81.734914,0.517256,9.042778,0.551576,5.941657,-0.022347,2.86464,0.123478,0.121843,3,0.105935,3,"Moderate"
1070,26099262800,,11.111111,0.555074,0,0.608952,7.386364,0.437598,55.002892,-0.066471,60.327451,-0.12282,30.295192,-0.12282,-0.292978,49.035322,0.026508,0.163695,3,3.707136,0.138391,40324,-0.50251,14.903526,0.080517,-18.82454,0.037504,-0.061525,2,1.998183,0.966967,85300,-0.699868,58.480074,-0.563182,9.51285,0.522038,4.253806,-0.023409,4.8583,0.070709,0.045543,3,0.049238,3,"Moderate"
1071,26099262900,,21.149144,0.11364,0,0.608952,0,1.030708,33.409091,-1.33843,42.569096,-1.177506,13.097727,-1.177506,-1.158511,71.448931,-0.871844,-0.398999,2,1.783355,0.557686,41583,-0.455945,20.880682,-0.499931,-20.087554,-0.070361,-0.117138,2,12.027891,0.101685,83100,-0.7264,75.759577,0.239637,17.2414,0.036409,-9.823249,-0.032262,2.73815,0.126826,-0.042351,2,-0.186162,2,"Low"
1072,26099263200,,40.110497,-0.720206,7.241379,-0.1458,4.137931,0.69844,20.926091,-2.07374,50.942925,-0.680176,25.701402,-0.680176,-0.52418,81.518578,-1.275441,-0.674443,2,4.128054,0.04665,37537,-0.605591,24.903154,-0.890557,-18.415542,0.072433,-0.344266,2,13.040293,0.014343,72600,-0.853028,54.338669,-0.755595,28.7801,-0.688635,-7.944653,-0.031081,2.578101,0.131062,-0.363822,2,-0.460844,2,"Low"
