OBJECTID,FIPS,NAMELSAD10,Childhood Poverty,High School Dropout Rate,"Persons 16-19 No HS Diploma, Unemployed",High school Completion,"Reading, School proficiency rates of three nearest in-district primary schools","Math, School proficiency rates of three nearest in-district primary schools",Percent of students receiving free or reduced price lunches,Percent of households receiving a form of public assistance,Median Household Income,Unemployment Rate,Change in jobs within a 5 mile radius,Vacant Property,Property Values,Homeownership rates,Poverty Rates,Percent change in population from 2000-2010.,Kirwan Opportunity Index,Kirwan Opportunity Index Ordinal Categories
622,26125122700,Census Tract 1227,12.442396,0,0,64.931019,80.387629,39.148454,36.432237,0.925147,70037,9.080258,-17.170228,15.253029,196100,87.468461,10.528,-0.35793,0.493837,High
623,26147620000,Census Tract 6200,46.841294,0,0,43.952802,61.498168,29.886107,51.983806,8.366994,30307,15.712617,-13.765284,19.432822,87300,46.335834,35.2433,-1.010563,-0.316608,Low
624,26147622000,Census Tract 6220,43.683782,9.252669,26.690391,46.218487,61.498168,29.886107,51.983806,3.773585,38348,14.948705,-14.243044,15.316804,87800,71.763175,27.3515,-5.519812,-0.229444,Low
625,26147623000,Census Tract 6230,28.571429,20.121951,19.207317,41.846652,61.498168,29.886107,51.983806,10.214168,28194,29.676601,-14.243044,8.446456,79500,57.495881,26.2327,1.71313,-0.507899,Low
626,26147625000,Census Tract 6250,81.927711,30.120482,14.457831,36.338798,61.498168,29.886107,51.983806,9.895052,17991,19.482496,-14.243044,17.95818,46700,31.934033,61.534,-19.314611,-0.869817,Very Low
627,26147626000,Census Tract 6260,42.270059,13.761468,0,30.932203,61.498168,29.886107,51.983806,3.841932,36089,16.29393,-14.243044,10.861057,78700,47.749726,28.3232,-20.556958,-0.260998,Low
628,26147627000,Census Tract 6270,25.655431,0,34.722222,60.48,61.498168,29.886107,51.983806,1.079137,44766,15.153631,-14.243044,9.001637,117700,83.543165,13.7094,1.060154,0.058648,Moderate
629,26147628000,Census Tract 6280,14.206437,15.151515,0,56.984733,61.498168,29.886107,51.983806,3.484754,39313,14.413076,-14.243044,7.855505,107100,73.988799,13.1359,-7.852592,0.052311,Moderate
630,26147630100,Census Tract 6301,34.529148,0,26.530612,46.160635,61.498168,29.886107,51.983806,0.645161,32758,11.320755,-13.363921,4.202719,75100,60.258065,17.495,-6.321218,-0.039985,Low
631,26147630400,Census Tract 6304,8.462532,0,12.652068,55.752938,61.498168,29.886107,51.983806,0.953289,58963,8.541816,-13.363921,8.264101,150400,87.607245,6.261149,7.870494,0.337773,High
632,26147631100,Census Tract 6311,4.296875,0,0,53.161765,61.498168,29.886107,51.983806,1.578192,71042,8.378378,-13.682562,12.765957,189800,77.33142,5.231788,8.370738,0.392083,High
633,26099226100,Census Tract 2261,11.853002,0,3.130435,72.091597,76.362031,51.507082,23.328849,0,101363,9.743875,-21.348027,3.513971,333000,96.84072,7.124682,29.261898,0.81036,Very High
634,26099226400,Census Tract 2264,8.426966,0,7.786885,71.390013,76.362031,51.507082,23.328849,1.800554,128750,9.286262,-15.173018,7.554417,358700,94.459834,6.955047,22.277518,0.888977,Very High
635,26099227000,Census Tract 2270,8.831169,0.275482,12.947658,62.502543,76.362031,51.507082,23.328849,1.109411,79545,11.861472,-7.328722,2.969562,228800,97.207345,7.080904,3.725395,0.679175,Very High
636,26099227300,Census Tract 2273,7.603093,3.73444,3.73444,52.428964,76.362031,51.507082,23.328849,2.199571,39423,7.399227,-14.275093,2.561422,253500,55.525751,11.5726,8.343111,0.410119,High
637,26099228000,Census Tract 2280,12.22031,0,10.952381,60.190951,76.362031,51.507082,23.328849,2.71261,47880,8.681319,-32.966136,12.564103,141400,69.061584,9.706683,11.401497,0.202455,Moderate
638,26099228100,Census Tract 2281,12.5,0,0,49.067713,76.362031,51.507082,23.328849,0,38674,9.059233,-30.468493,17.852523,135200,39.212598,8.268551,-8.987154,0.135517,Moderate
639,26099230200,Census Tract 2302,5.035971,0,2.333333,65.9733,76.362031,51.507082,23.328849,1.021566,67902,8.91129,-32.65312,8.419958,166600,94.494892,6.032025,-6.029509,0.475094,High
640,26099230400,Census Tract 2304,10.586552,0,11.587983,64.033613,76.362031,51.507082,23.328849,1.445087,60000,6.743257,-29.046233,11.168164,154700,89.306358,7.652022,-0.377849,0.391994,High
641,26099230500,Census Tract 2305,38.291457,22.839506,6.790123,48.985404,76.362031,51.507082,23.328849,5.660377,32188,13.100253,-28.331542,8.274743,80200,63.384434,28.1152,1.175708,-0.185433,Low
642,26099230601,Census Tract 2306.01,0,12.457912,0,73.772142,76.362031,51.507082,23.328849,1.111908,73030,5.33967,-20.406545,6.537043,243500,80.846485,0.915106,42.315847,0.630467,Very High
643,26099230602,Census Tract 2306.02,2.164227,7.912088,9.450549,50.367547,76.362031,51.507082,23.328849,1.239892,62928,8.503135,-19.869302,4.774127,222100,82.857143,4.94908,32.517875,0.466161,High
644,26099230800,Census Tract 2308,19.760479,0,10.162602,47.028964,76.362031,51.507082,23.328849,2.952433,46541,11.10269,-19.429714,1.825013,122700,93.712411,11.5776,0.030081,0.317918,High
645,26099230900,Census Tract 2309,15.356201,0,22.659176,61.694915,76.362031,51.507082,23.328849,1.565047,54467,13.796576,-27.820251,3.644361,142700,70.687969,11.0847,-0.786695,0.236107,Moderate
646,26099231000,Census Tract 2310,11.491713,0,16.025641,60.176991,76.362031,51.507082,23.328849,2.663116,74226,7.908283,-27.578763,5.356018,149900,92.876165,7.536447,1.219175,0.421393,High
