id,geoid,metro,region,lat,lon,year,oned_index,economy_index,education_index,equity_index,quality_of_life_index,transit_index,econ_exports,econ_gmp,econ_hightech,econ_kiemploy,econ_pcpi,econ_techpatents,econ_biztaxindex,edu_pctbachhigher2534,edu_pctbachhigher,edu_enrolled,edu_hsdiploma,edu_unemployednohs,edu_ppstatebudget,edu_ppspending,qol_aqi,qol_popchange,qol_popwohealthins,qol_vcrimert,qol_vthourspc,qol_obese,equity_fbpop,equity_gini,equity_incshareq1,equity_incshareq2,equity_incshareq3,equity_incshareq4,equity_incshareq5,equity_incsharetop5,equity_medhhincblack,equity_medhhinchisp,equity_medhhincwhite,equity_medhhinctotal,equity_childpovrtblack,equity_childpovrthisp,equity_childpovrtwhite,equity_childpovrttotal,equity_homeownershipblack,equity_homeownershiphisp,equity_homeownershipwhite,equity_homeownershiptotal,transit_hoursdelayedpc,transit_caralone,transit_novehicle,transit_bustrips,transit_statefunding
31,31,"Milwaukee-Racine-Waukesha, WI",Midwest,43.03499310,-87.92249700,2009,2.32,1.34,2.71,2.44,3.2,1.92,6505382169.0,55114,-0.0293,0.02,44840.17,3.26,4.76,0.3583,0.309,0.206,0.8831,0.007,6721.00,11198.00,0.7616,0.0074,0,494.20,0.334,0.394,0.0684,0.448,0.037,0.092,0.153,0.235,0.483,0.21,29433,40628,64960,56951,0.4667,0.267,0.0631,0.1878,0.3376,0.4452,0.6991,0.6285,26,0.8918,0.0368,48198.21,22.25
32,32,"Minneapolis-St. Paul-St. Cloud, MN-WI",Midwest,44.97729950,-93.26546920,2009,2.69,1.94,3.18,3.03,3.33,1.97,20096703030.0,57855,0.1656,0.0463,47860.56,6.27,4.61,0.4236,0.3749,0.205,0.9186,0.0046,6429.00,11028.00,0.4932,0.0089,0,,0.366,0.378,0.0898,0.436,0.039,0.098,0.156,0.23,0.476,0.209,31019,45155,73601,69197,0.4065,0.2633,0.0531,0.1176,0.2838,0.4743,0.7783,0.7298,32,0.8686,0.0281,77581.41,45.98
33,33,"Nashville-Davidson-Murfreesboro-Columbia, TN",Southeast,36.16222570,-86.77434190,2009,2.1,1.91,2.03,2.36,2.75,1.46,4406608834.0,49329,0.3334,0.1969,40832.61,0.84,5.42,0.3411,0.2978,0.1781,0.8666,0.0117,7435.00,7836.00,0.5342,0.0168,0,659.40,0.327,0.34,0.0704,0.458,0.037,0.093,0.148,0.223,0.499,0.229,37401,38866,59668,55088,0.3582,0.3551,0.1138,0.1766,0.4693,0.4136,0.7421,0.6865,46,0.9196,0.0179,10259.65,5.59
34,34,"New Orleans-Metairie-Bogalusa, LA",Southeast,29.94993230,-90.07011560,2009,1.91,1.12,1.96,1.84,2.75,1.86,10145071310.0,59465,-0.0163,-0.1353,44241.07,0.74,4.98,0.2791,0.2522,0.1989,0.8313,0.0142,7596.00,10744.00,0.3452,0.0282,0,547.70,0.238,0.356,0.0663,0.478,0.032,0.085,0.144,0.23,0.51,0.229,32791,44102,62142,50336,0.3835,0.1965,0.1001,0.2311,0.4804,0.5321,0.7488,0.6548,24,0.8942,0.0424,11970.45,1.10
35,35,"New York-Newark-Bridgeport, NY-NJ-CT-PA",Northeast,40.73059910,-73.98658120,2009,2.41,2.36,3.41,1.31,2.4,2.57,69990311832.0,66352,0.086,0.0133,55508.67,2.43,4.13,0.4357,0.3552,0.197,0.8411,0.0079,8853.00,18764.00,0.2685,0.0067,0,381.90,0.164,0.44,0.2772,0.504,0.027,0.078,0.138,0.223,0.534,0.252,46575,43991,85461,68283,0.2681,0.2949,0.0807,0.176,0.3295,0.2688,0.6716,0.5308,58,0.5742,0.2236,1251043.68,227.58
36,36,"Oklahoma City-Shawnee, OK",West,35.47074190,-97.51988060,2009,2.1,1.38,2.09,2.07,3.41,1.54,987642684.0,46517,0.1805,0.062,39065.77,0.83,5.40,0.2879,0.2696,0.2,0.8661,0.0102,7240.00,7771.00,0.5589,0.0174,0,,0.336,0.343,0.0723,0.462,0.036,0.09,0.147,0.228,0.499,0.226,32630,34089,54594,49449,0.3749,0.3626,0.1229,0.202,0.4127,0.5055,0.7125,0.655,39,0.9344,0.0194,2684.09,1.49
37,37,"Orlando-Deltona-Daytona Beach, FL",Southeast,28.54211750,-81.37904620,2009,2.21,2.09,1.73,2.98,2.83,1.44,2947145800.0,47303,0.3717,0.1814,35641.36,1.19,6.92,0.2887,0.2714,0.1973,0.8661,0.0179,6324.00,8784.00,0.7534,0.0117,0,682.80,0.281,0.356,0.1578,0.446,0.04,0.095,0.149,0.226,0.49,0.217,40230,43981,60363,53422,0.2645,0.2267,0.0877,0.1626,0.4803,0.527,0.7414,0.6624,48,0.9043,0.0246,23747.80,9.74
38,38,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD",Northeast,39.95233500,-75.16378900,2009,2.13,1.89,2.6,2.2,2.2,1.77,19067430357.0,58324,0.1279,0.0438,48749.61,2.88,5.14,0.3923,0.3203,0.2004,0.873,0.0086,5717.00,12401.00,0.2384,0.0059,0,575.60,0.263,0.389,0.0896,0.467,0.031,0.088,0.15,0.233,0.499,0.22,38821,38260,75532,64488,0.3309,0.3482,0.0554,0.1579,0.5023,0.4737,0.772,0.6977,49,0.819,0.0616,189801.37,94.31
39,39,"Phoenix-Mesa-Glendale, AZ",Southwest,33.36116800,-112.12130217,2009,2.06,1.62,1.93,2.9,2.13,1.74,7947525373.0,43335,0.2382,0.1434,37676.22,2.55,5.25,0.2486,0.2711,0.2127,0.8321,0.0132,7283.00,8203.00,0.0877,0.0115,0,393.70,0.263,0.347,0.1642,0.447,0.038,0.095,0.152,0.229,0.486,0.215,43896,44673,65054,58539,0.3151,0.3088,0.0811,0.2009,0.4043,0.5347,0.7401,0.6726,36,0.8834,0.0313,70304.52,0.00
40,40,"Pittsburgh-New Castle, PA",Midwest,40.44169410,-79.99008610,2009,1.93,1.5,2.36,2.05,1.92,1.81,8343042682.0,47077,0.1699,0.0229,43956.15,2.42,5.14,0.4016,0.2823,0.1731,0.9032,0.0088,5717.00,12401.00,0.1315,-0.0006,0,342.90,0.279,0.342,0.0309,0.461,0.035,0.088,0.149,0.231,0.497,0.219,25812,45048,52842,50351,0.4749,0.2133,0.1171,0.1658,0.3616,0.5075,0.748,0.7097,41,0.8643,0.0407,59794.01,94.31
